"tip_label","accession_number"
"HM211099_1_HKU_9_5_1_Rousettus_leschenaulti_China_S","HM211099"
"EF065514_1_HKU_9_2_Rousettus_leschenaulti_China_S","EF065514"
"EF065515_1_HKU_9_3_Rousettus_leschenaulti_China_S","EF065515"
"HM211098_1_HKU_9_5_1_Rhinolphus_sinicus_China_S","HM211098"
"HM211100_1_HKU_9_10_1_Rousettus_leschenaulti_China_S","HM211100"
"NC_009021_1_HKU9_Rousettus_leschenaulti_China_S","NC"
"MG693170_1_Eidolon_helvum_Cameroon_S","MG693170"
"MG762674_1_HKU9_Rousettus_sp_China_S","MG762674"
"Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_new_S","Rousettus"
"Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_new_S","Rousettus"
"MG693171_1_Eidolon_helvum_Cameroon_S","MG693171"
"MG693169_1_Eidolon_helvum_Cameroon_S","MG693169"
"NC_048212_1_Eidolon_helvum_Cameroon_S","NC"
"MG693172_1_Eidolon_helvum_Cameroon_S","MG693172"
"Pteropus_rufus_RR034B_010_fecRa_AMB130_new_S","Pteropus"
"GammaCoV_NC_010800_1_Turkey_S","GammaCoV"
"Oryctolagus_cuniculus_NC_017083_1_Rabbit_CoV_HKU14_S","Oryctolagus"
"Homo_sapiens_NC_006213_1_HCOV_OC43_S","Homo"
"Bos_taurus_NC_003045_1_BCoV_ENT_S","Bos"
"Rattus_norvegicus_NC_026011_1_Betacoronavirus_HKU24_S","Rattus"
"Rattus_rattus_NC_012936_1_Rat_CoV_S","Rattus"
"Mus_musculus_NC_001846_1_MHV_A59_S","Mus"
"Mus_musculus_NC_048217_1_MHV_S","Mus"
"Homo_sapiens_NC_006577_2_HKU1_S","Homo"
"Erinaceus_NC_039207_1_ErinaceusCoV_S","Erinaceus"
"Tylonycteris_sp_NC_009019_1_HKU4_S","Tylonycteris"
"Pipistrellus_NC_009020_1_BatCoV_HKU5_S","Pipistrellus"
"Homo_sapiens_NC_019843_3_MERS_S","Homo"
"Bos_taurus_NC_038294_1_Betacoronavirus_1_S","Bos"
"Hipposideros_pratti_NC_025217_1_Zhejiang2013_S","Hipposideros"
"Rhinolophus_blasii_NC_014470_1_BatCoV_BM48_31_S","Rhinolophus"
"Homo_sapiens_NC_045512_2_SARS_CoV_2_S","Homo"
"Homo_sapiens_NC_004718_3_SARS_S","Homo"
"EF065516_1_HKU_9_4_Rousettus_leschenaulti_China_S","EF065516"
"NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_S","NC"
"MT350598_1_GCCDC1_Eonycteris_spelaea_Singapore_S","MT350598"
"MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_S","MK492263"
"MK211379_1_GX2018_Rhinolophus_affinis_China_S","MK211379"
