sampleid,species,collection_date,tooth_type,lab_test,lab_researcher,published,publication,age,cc,notes
AMB62,Pteropus rufus,3/20/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
AMB64,Pteropus rufus,3/18/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,B,age inferred from multiple teeth
AMB65,Pteropus rufus,3/18/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
AMB66,Pteropus rufus,3/19/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
AMB67,Pteropus rufus,3/20/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
AMB72,Pteropus rufus,5/21/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
AMB78,Pteropus rufus,5/10/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
AMB79,Pteropus rufus,5/11/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
AMB80,Pteropus rufus,5/11/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
AMB81,Pteropus rufus,5/12/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
AMB82,Pteropus rufus,5/12/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
AND36,Eidolon dupreanum,3/30/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),6,B,age inferred from multiple teeth
AND37,Eidolon dupreanum,3/30/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
AND38,Eidolon dupreanum,3/30/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),13,B,age inferred from multiple teeth
AND40,Eidolon dupreanum,3/31/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),7,B,age inferred from multiple teeth
ANDH2,Eidolon dupreanum,4/2/15,upper right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
ANGB67,Eidolon dupreanum,4/27/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
ANGB77,Eidolon dupreanum,4/27/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
ANGB79,Eidolon dupreanum,4/27/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
ANGB81,Eidolon dupreanum,4/27/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),12,B,age inferred from multiple teeth
ANGB82,Eidolon dupreanum,4/27/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),9.5,A,age inferred from multiple teeth
ANGB83,Eidolon dupreanum,4/27/15,lower right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
ANGB84,Eidolon dupreanum,4/27/15,lower right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2.75,A,age inferred from multiple teeth
ANGB85,Eidolon dupreanum,6/22/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),11,A,age inferred from multiple teeth
ANGB86,Eidolon dupreanum,6/22/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),10,A,age inferred from multiple teeth
ANGB88,Eidolon dupreanum,6/22/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
ANGB90,Eidolon dupreanum,6/22/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,B,age inferred from multiple teeth
