sampleid,species,collection_date,tooth_type,lab_test,lab_researcher,published,publication,age,cc,notes
ANGB91,Eidolon dupreanum,6/22/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),11,B,age inferred from multiple teeth
ANGB92,Eidolon dupreanum,6/22/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
ANGB93,Eidolon dupreanum,6/22/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),11,A,age inferred from multiple teeth
CDG221,Rousettus madagascariensis,11/11/14,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),0.5,A,age inferred from multiple teeth
CDG222,Rousettus madagascariensis,11/15/14,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1.5,A,age inferred from multiple teeth
CDG223,Rousettus madagascariensis,11/15/14,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
CDG227,Rousettus madagascariensis,11/18/14,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),0.5,B,age inferred from multiple teeth
CDG234,Rousettus madagascariensis,11/19/14,lower left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),0.5,A,age inferred from multiple teeth
CDG238,Rousettus madagascariensis,11/12/14,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),5.5,A,age inferred from multiple teeth
CDG239,Rousettus madagascariensis,11/12/14,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),0.5,B,age inferred from multiple teeth
KEL119,Eidolon dupreanum,4/28/15,lower left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),12,A,age inferred from multiple teeth
KEL120,Eidolon dupreanum,6/23/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),6,A,age inferred from multiple teeth
KEL122,Eidolon dupreanum,6/23/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
KEL123,Eidolon dupreanum,6/23/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),7,B,age inferred from multiple teeth
KEL124,Eidolon dupreanum,6/24/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),6,A,age inferred from multiple teeth
KEL125,Eidolon dupreanum,6/24/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,C,age inferred from multiple teeth
KEL126,Eidolon dupreanum,6/24/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),4,B,age inferred from multiple teeth
KEL127,Eidolon dupreanum,6/24/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
MAK10,Pteropus rufus,7/1/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MAK4,Pteropus rufus,7/8/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,B,age inferred from multiple teeth
MAK7,Pteropus rufus,7/10/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
MAK8,Pteropus rufus,7/10/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
MARO65,Pteropus rufus,3/9/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
MARO67,Pteropus rufus,3/11/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MARO68,Pteropus rufus,3/11/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MARO69,Pteropus rufus,3/11/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
MARO71,Pteropus rufus,3/14/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MARO75,Pteropus rufus,3/15/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MIZ64,Rousettus madagascariensis,4/25/15,upper right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2.5,B,age inferred from multiple teeth
AMB35,Pteropus rufus,9/6/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,B,age inferred from multiple teeth
AMB36,Pteropus rufus,9/8/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),9,B,age inferred from multiple teeth
AMB37,Pteropus rufus,9/9/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),4.6,B,age inferred from multiple teeth
AMB38,Pteropus rufus,9/12/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
AMB39,Pteropus rufus,12/5/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,B,age inferred from multiple teeth
AMB45,Pteropus rufus,12/6/14,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),6,B,age inferred from multiple teeth
AMB46,Pteropus rufus,12/7/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
AMB47,Pteropus rufus,12/7/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,C,age inferred from multiple teeth
AMB52,Pteropus rufus,12/8/14,upper right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),5,A,age inferred from multiple teeth
AMB61,Pteropus rufus,12/9/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
AMB62,Pteropus rufus,12/9/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
AND1,Eidolon dupreanum,8/1/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
AND14,Eidolon dupreanum,8/3/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),5,A,age inferred from multiple teeth
AND2,Eidolon dupreanum,8/1/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2.5,B,age inferred from multiple teeth
AND20,Eidolon dupreanum,8/3/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),6,B,age inferred from multiple teeth
AND28,Eidolon dupreanum,10/14/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,C,age inferred from multiple teeth
AND29,Eidolon dupreanum,10/14/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),8,B,age inferred from multiple teeth
AND3,Eidolon dupreanum,8/1/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),4,A,age inferred from multiple teeth
AND30,Eidolon dupreanum,10/16/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),4,B,age inferred from multiple teeth
AND31,Eidolon dupreanum,10/16/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),10,B,age inferred from multiple teeth
AND32,Eidolon dupreanum,10/16/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),8,A,age inferred from multiple teeth
AND33,Eidolon dupreanum,10/17/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,C,age inferred from multiple teeth
AND34,Eidolon dupreanum,10/17/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),10,B,age inferred from multiple teeth
AND35,Eidolon dupreanum,10/18/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,C,age inferred from multiple teeth
AND4,Eidolon dupreanum,8/1/14,lower right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),4.5,B,age inferred from multiple teeth
ANGB42,Eidolon dupreanum,10/4/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
ANGB48,Eidolon dupreanum,12/14/14,upper right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2.5,A,age inferred from multiple teeth
ANGB52,Eidolon dupreanum,12/14/20,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
ANGB53,Eidolon dupreanum,12/14/20,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
ATS1,Eidolon dupreanum,8/1/14,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),6.5,A,age inferred from multiple teeth
ATS2,Eidolon dupreanum,8/1/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2.5,A,age inferred from multiple teeth
EMA1,Eidolon dupreanum,7/13/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,B,age inferred from multiple teeth
EMA12,Eidolon dupreanum,7/14/14,lower right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),6,B,age inferred from multiple teeth
EMA2,Eidolon dupreanum,7/13/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
EMA3,Eidolon dupreanum,7/13/14,lower right premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
KEL28,Eidolon dupreanum,10/8/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),5,B,age inferred from multiple teeth
KEL29,Eidolon dupreanum,10/8/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3.4,B,age inferred from multiple teeth
KEL31,Eidolon dupreanum,10/8/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),5,B,age inferred from multiple teeth
KEL32,Eidolon dupreanum,10/8/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3.25,B,age inferred from multiple teeth
KEL33,Eidolon dupreanum,10/8/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),4,B,age inferred from multiple teeth
KEL35,Eidolon dupreanum,10/8/14,lower left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),11,A,age inferred from multiple teeth
KEL37,Eidolon dupreanum,10/8/14,lower right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),6,A,age inferred from multiple teeth
KEL39,Eidolon dupreanum,10/8/14,lower right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),4,B,age inferred from multiple teeth
KEL40,Eidolon dupreanum,10/8/20,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
KEL42,Eidolon dupreanum,10/8/14,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),9,B,age inferred from multiple teeth
KEL48,Eidolon dupreanum,10/8/15,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),9,A,age inferred from multiple teeth
KEL51,Eidolon dupreanum,10/8/20,lower right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
KEL56,Eidolon dupreanum,10/8/14,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),10,A,age inferred from multiple teeth
KEL65,Eidolon dupreanum,10/8/20,lower right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2.333333333,B,age inferred from multiple teeth
KEL66,Eidolon dupreanum,12/17/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
KEL68,Eidolon dupreanum,12/17/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
KEL69,Eidolon dupreanum,12/17/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
KEL70,Eidolon dupreanum,12/17/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
KEL71,Eidolon dupreanum,12/17/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
KEL83,Eidolon dupreanum,12/18/14,upper right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
KEL84,Eidolon dupreanum,12/18/14,upper right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
KEL86,Eidolon dupreanum,12/18/14,upper right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
KEL88,Eidolon dupreanum,12/18/14,upper right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),4,B,age inferred from multiple teeth
KEL91,Eidolon dupreanum,12/18/14,lower left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
KEL94,Eidolon dupreanum,12/18/14,upper right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
KEL95,Eidolon dupreanum,12/18/14,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
KEL96,Eidolon dupreanum,12/18/14,upper right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),6,A,age inferred from multiple teeth
MAH10,Pteropus rufus,7/16/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
MAH11,Pteropus rufus,7/18/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
MAH12,Pteropus rufus,7/18/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MAH13,Pteropus rufus,7/18/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
MAH6,Pteropus rufus,7/13/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MAH8,Pteropus rufus,7/13/14,lower right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1.333333333,A,age inferred from multiple teeth
MAH9,Pteropus rufus,7/14/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MAK1,Pteropus rufus,10/30/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
MAK3,Pteropus rufus,11/8/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
MARO35,Pteropus rufus,8/23/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MARO36,Pteropus rufus,8/23/14,lower right premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1.5,B,age inferred from multiple teeth
MARO37,Pteropus rufus,8/23/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
MARO38,Pteropus rufus,8/23/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
MARO39,Pteropus rufus,8/24/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MARO40,Pteropus rufus,8/31/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
MARO41,Pteropus rufus,9/1/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
MARO44,Pteropus rufus,11/28/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MARO45,Pteropus rufus,11/29/14,lower left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),5.75,B,age inferred from multiple teeth
MARO46,Pteropus rufus,11/29/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MARO47,Pteropus rufus,11/29/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MARO48,Pteropus rufus,11/29/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
MARO49,Pteropus rufus,11/29/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
MARO52,Pteropus rufus,11/30/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
MARO53,Pteropus rufus,11/30/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
MARO58,Pteropus rufus,12/1/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
MARO59,Pteropus rufus,12/2/14,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
RAK13,Rousettus madagascariensis,11/6/14,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
RAK14,Rousettus madagascariensis,11/6/14,lower left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,B,age inferred from multiple teeth
RAK3,Rousettus madagascariensis,11/6/14,lower left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),6,A,age inferred from multiple teeth
ROU12,Rousettus madagascariensis,8/1/14,lower left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
AMB1,Pteropus rufus,11/4/13,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
AMB19,Pteropus rufus,11/19/13,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,B,age inferred from multiple teeth
AMB2,Pteropus rufus,11/15/13,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
ANGB10,Eidolon dupreanum,11/23/13,lower right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),0.5,A,age inferred from multiple teeth
ANGB11,Eidolon dupreanum,11/23/13,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
ANGB2,Eidolon dupreanum,11/23/13,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
ANGB4,Eidolon dupreanum,11/23/13,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),5,A,age inferred from multiple teeth
ANGB5,Eidolon dupreanum,11/23/13,lower right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),7.5,B,age inferred from multiple teeth
ANGB6,Eidolon dupreanum,11/23/13,lower right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
ANGB7,Eidolon dupreanum,11/23/13,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
ANGB8,Eidolon dupreanum,11/23/13,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
ANGB9,Eidolon dupreanum,11/23/13,lower right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
MARO1,Pteropus rufus,11/15/13,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),0.8,A,age inferred from multiple teeth
MARO4,Pteropus rufus,11/4/13,lower left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2.5,A,age inferred from multiple teeth
AMB100,Pteropus rufus,1/18/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,B,age inferred from multiple teeth
AMB106,Pteropus rufus,1/19/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
AMB107,Pteropus rufus,1/19/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
AMB110,Pteropus rufus,1/20/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
AMB111,Pteropus rufus,1/20/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
AMB112,Pteropus rufus,1/20/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
AMB113,Pteropus rufus,1/20/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
AMB116,Pteropus rufus,1/21/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
AMB117,Pteropus rufus,1/21/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
AMB118,Pteropus rufus,1/21/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
AMB119,Pteropus rufus,1/21/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
AMB120,Pteropus rufus,1/21/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,B,age inferred from multiple teeth
AMB83,Pteropus rufus,1/14/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),4,B,age inferred from multiple teeth
AMB84,Pteropus rufus,1/15/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
AMB85,Pteropus rufus,1/15/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,A,age inferred from multiple teeth
AMB86,Pteropus rufus,1/15/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
AMB87,Pteropus rufus,1/15/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
AMB88,Pteropus rufus,1/15/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
AMB89,Pteropus rufus,1/16/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
AMB90,Pteropus rufus,1/16/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),6,B,age inferred from multiple teeth
AMB91,Pteropus rufus,1/17/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
AMB92,Pteropus rufus,1/17/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,A,age inferred from multiple teeth
AMB93,Pteropus rufus,1/17/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
ANGB111,Eidolon dupreanum,1/8/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,B,age inferred from multiple teeth
ANGB112,Eidolon dupreanum,1/8/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
ANGB117,Eidolon dupreanum,1/8/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
KEL133,Eidolon dupreanum,1/10/16,upper right canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),4.5,B,age inferred from multiple teeth
KEL134,Eidolon dupreanum,1/10/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),3,B,age inferred from multiple teeth
KEL135,Eidolon dupreanum,1/10/16,upper left canine,aged,MatsonsLab,yes,Brook et al. 2019 (x2),2,B,age inferred from multiple teeth
KEL139,Eidolon dupreanum,1/10/16,lower left premolar,aged,MatsonsLab,yes,Brook et al. 2019 (x2),1,A,age inferred from multiple teeth
