czb_id,sample_name,sample_type,collection_date,sampleID,site,species,recap,previous_ID,sex,class,yoy,mom_baby_pair,mass_g,forearm_mm,age,CoV
RR034B_381_uaRa,RR034B_381_uaRa_S250,urine,1/6/19,KEL245,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,120,123,NA,N
RR034B_382_uaRa,RR034B_382_uaRa_S294,urine,1/6/19,KEL247,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,175,114.2,NA,N
RR034B_383_uaRa,RR034B_383_uaRa_S32,urine,1/6/19,KEL248,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,135,131.5,NA,N
RR034B_384_uaRa,RR034B_384_uaRa_S76,urine,1/6/19,KEL250,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,184,134.5,NA,N
RR034B_385_uaRa,RR034B_385_uaRa_S117,urine,1/7/19,KEL267,"AngavoKely, Madagascar",Eidolon dupreanum,Y,,m,A,N,N,162,124.4,NA,N
RR034B_386_uaRa,RR034B_386_uaRa_S161,urine,1/7/19,KEL268,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,182,128.2,NA,N
RR034B_387_uaRa,RR034B_387_uaRa_S234,urine,1/7/19,KEL269,"AngavoKely, Madagascar",Eidolon dupreanum,Y,,m,A,N,N,245,130.8,NA,N
RR034B_388_uaRa,RR034B_388_uaRa_S205,urine,1/7/19,KEL270,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,125,131.3,NA,N
RR034B_389_uaRa,RR034B_389_uaRa_S249,urine,1/7/19,KEL271,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,315,128.8,NA,N
RR034B_390_uaRa,RR034B_390_uaRa_S116,urine,3/14/19,KEL272B,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,310,150.1,NA,N
RR034B_391_uaRa,RR034B_391_uaRa_S293,urine,1/7/19,KEL273,"AngavoKely, Madagascar",Eidolon dupreanum,Y,,m,A,N,N,340,126.8,NA,N
RR034B_392_uaRa,RR034B_392_uaRa_S31,urine,1/7/19,KEL275,"AngavoKely, Madagascar",Eidolon dupreanum,Y,,m,A,N,N,165,128.7,NA,N
RR034B_393_uaRa,RR034B_393_uaRa_S204,urine,3/14/19,KEL275B,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,210,132.1,NA,N
RR034B_394_uaRa,RR034B_394_uaRa_S75,urine,2/5/19,KEL278,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,320,128.48,NA,N
RR034B_395_uaRa,RR034B_395_uaRa_S248,urine,3/14/19,KEL278B,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,320,178,NA,N
RR034B_396_uaRa,RR034B_396_uaRa_S24,urine,2/5/19,KEL279,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,360,135.46,NA,N
RR034B_397_uaRa,RR034B_397_uaRa_S70,urine,3/14/19,KEL279B,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,305,127.3,NA,N
RR034B_398_uaRa,RR034B_398_uaRa_S114,urine,3/14/19,KEL280B,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,275,126.4,NA,N
RR034B_399_uaRa,RR034B_399_uaRa_S158,urine,3/14/19,KEL281B,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,290,126.8,NA,N
RR034B_400_uaRa,RR034B_400_uaRa_S202,urine,3/14/19,KEL283B,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,295,131.2,NA,N
RR034B_401_uaRa,RR034B_401_uaRa_S68,urine,2/5/19,KEL285,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,210,132.13,NA,N
RR034B_402_uaRa,RR034B_402_uaRa_S246,urine,3/15/19,KEL285B,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,95,129.4,NA,N
RR034B_403_uaRa,RR034B_403_uaRa_S290,urine,3/15/19,KEL286B,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,115,133.7,NA,N
RR034B_404_uaRa,RR034B_404_uaRa_S112,urine,2/6/19,KEL287,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,350,126.07,NA,N
RR034B_405_uaRa,RR034B_405_uaRa_S200,urine,2/6/19,KEL289,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,A,?,N,290,124.08,NA,N
RR034B_406_uaRa,RR034B_406_uaRa_S244,urine,2/6/19,KEL290,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,,345,126.95,NA,N
RR034B_407_uaRa,RR034B_407_uaRa_S288,urine,2/6/19,KEL291,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,320,128,NA,N
RR034B_408_uaRa,RR034B_408_uaRa_S28,urine,3/15/19,KEL291B,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,280,125.3,NA,N
RR034B_409_uaRa,RR034B_409_uaRa_S26,urine,2/6/19,KEL293,"AngavoKely, Madagascar",Eidolon dupreanum,Y,,m,A,N,N,371,127.83,NA,N
RR034B_410_uaRa,RR034B_410_uaRa_S150,urine,2/6/19,KEL295,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,340,130.36,NA,N
RR034B_411_uaRa,RR034B_411_uaRa_S194,urine,2/6/19,KEL296,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,A,N,N,350,128.59,NA,N
RR034B_412_uaRa,RR034B_412_uaRa_S74,urine,2/6/19,KEL298,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,330,123.53,NA,N
RR034B_413_uaRa,RR034B_413_uaRa_S118,urine,2/6/19,KEL299,"AngavoKely, Madagascar",Eidolon dupreanum,Y,,m,A,N,N,265,119.89,NA,N
RR034B_414_uaRa,RR034B_414_uaRa_S72,urine,3/15/19,KEL299B,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,260,124.3,NA,N
RR034B_415_uaRa,RR034B_415_uaRa_S157,urine,4/23/19,KEL305,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,,N,300,130,NA,N
RR034B_416_uaRa,RR034B_416_uaRa_S201,urine,4/23/19,KEL306,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,,N,325,132.1,NA,N
RR034B_417_uaRa,RR034B_417_uaRa_S23,urine,4/23/19,KEL309,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,,N,325,129.9,NA,N
RR034B_418_uaRa,RR034B_418_uaRa_S67,urine,4/23/19,KEL310,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,,N,325,132.7,NA,N
RR034B_419_uaRa,RR034B_419_uaRa_S111,urine,4/23/19,KEL312,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,,N,305,128.9,NA,N
RR034B_420_uaRa,RR034B_420_uaRa_S199,urine,4/23/19,KEL315,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,,N,305,128.1,NA,N
RR034B_421_uaRa,RR034B_421_uaRa_S245,urine,4/23/19,KEL317,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,,N,325,129.3,NA,N
RR034B_422_uaRa,RR034B_422_uaRa_S243,urine,4/23/19,KEL318,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,,N,230,122,NA,N
RR034B_423_uaRa,RR034B_423_uaRa_S287,urine,4/23/19,KEL322,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,,N,315,130.4,NA,N
RR034B_424_uaRa,RR034B_424_uaRa_S113,urine,4/23/19,KEL334,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,,N,280,129,NA,N
RR034B_425_uaRa,RR034B_425_uaRa_S12,urine,7/13/14,MAH1,"Mahabo, Madagascar",Pteropus rufus,,,f,NL,,,590,166,NA,N
RR034B_426_uaRa,RR034B_426_uaRa_S255,urine,7/18/14,MAH11,"Mahabo, Madagascar",Pteropus rufus,,,m,A,,,650,174.8,3.797260274,N
RR034B_427_uaRa,RR034B_427_uaRa_S299,urine,7/18/14,MAH12,"Mahabo, Madagascar",Pteropus rufus,,,f,NL,,,600,169,1.797260274,N
RR034B_428_uaRa,RR034B_428_uaRa_S209,urine,7/13/14,MAH3,"Mahabo, Madagascar",Pteropus rufus,,,m,J,,,400,105,0.783561644,N
RR034B_429_uaRa,RR034B_429_uaRa_S37,urine,7/13/14,MAH4,"Mahabo, Madagascar",Pteropus rufus,,,f,NL,,,530,160,none,N
RR034B_430_uaRa,RR034B_430_uaRa_S253,urine,7/13/14,MAH6,"Mahabo, Madagascar",Pteropus rufus,,,f,NL,,,510,168,1.783561644,N
RR034B_431_uaRa,RR034B_431_uaRa_S297,urine,7/13/14,MAH7,"Mahabo, Madagascar",Pteropus rufus,,,m,A,,,470,160,0.783561644,N
RR034B_432_uaRa,RR034B_432_uaRa_S33,urine,7/12/15,MAK12,"Makira, Madagascar",Pteropus rufus,,,m,A,,,780,170,none,N
RR034B_433_uaRa,RR034B_433_uaRa_S77,urine,7/14/15,MAK13,"Makira, Madagascar",Pteropus rufus,,,m,A,,,600,160,none,N
RR034B_434_uaRa,RR034B_434_uaRa_S81,urine,9/1/14,MARO43,"Marovitsika, Madagascar",Pteropus rufus,,,f,NL,,,455,151,0.920547945,N
RR034B_435_uaRa,RR034B_435_uaRa_S35,urine,3/11/15,MARO66,"Marovitsika, Madagascar",Pteropus rufus,,,m,A,,,680,162,0.443835616,N
RR034B_436_uaRa,RR034B_436_uaRa_S79,urine,11/7/13,MARO7,"Marovitsika, Madagascar",Pteropus rufus,,,f,L,,,510,165,none,N
RR034B_437_uaRa,RR034B_437_uaRa_S125,urine,5/17/15,MARO79,"Marovitsika, Madagascar",Pteropus rufus,,,m,J,,,510,153.6,0.62739726,N
RR034B_438_uaRa,RR034B_438_uaRa_S123,urine,11/7/13,MARO8,"Marovitsika, Madagascar",Pteropus rufus,,,m,J,,,150,98,0.104109589,N
RR034B_439_uaRa,RR034B_439_uaRa_S127,urine,2/18/18,MIZ136,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,f,L,N,Y,60,67.9,NA,N
RR034B_440_uaRa,RR034B_440_uaRa_S169,urine,2/18/18,MIZ142,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,m,A,N,N,60,71.3,NA,N
RR034B_441_uaRa,RR034B_441_uaRa_S213,urine,2/18/18,MIZ143,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,f,NL,N,N,50,63.4,NA,N
RR034B_442_uaRa,RR034B_442_uaRa_S257,urine,2/18/18,MIZ144,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,f,J,Y,Y,20,36.5,NA,N
RR034B_444_uaRa,RR034B_444_uaRa_S39,urine,2/18/18,MIZ151,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,m,A,N,N,60,72.5,NA,N
RR034B_445_uaRa,RR034B_445_uaRa_S301,urine,2/18/18,MIZ152,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,f,NL,N,N,48,68.8,NA,N
RR034B_446_uaRa,RR034B_446_uaRa_S83,urine,4/13/18,MIZ168,"Maromizaha, Madagascar",Rousettus madagascariensis,NA,,f,NL,N,N,55,73.2,NA,N
RR034B_447_uaRa,RR034B_447_uaRa_S171,urine,4/14/18,MIZ184,"Maromizaha, Madagascar",Rousettus madagascariensis,NA,,f,NL,N,N,55,72.5,NA,N
RR034B_448_uaRa,RR034B_448_uaRa_S303,urine,7/29/18,MIZ188,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,m,A,N,N,55,69.7,NA,N
RR034B_449_uaRa,RR034B_449_uaRa_S41,urine,7/29/18,MIZ190,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,m,A,N,N,60,71.4,NA,N
RR034B_450_uaRa,RR034B_450_uaRa_S85,urine,7/29/18,MIZ195,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,f,NL,N,N,55,71.8,NA,N
RR034B_451_uaRa,RR034B_451_uaRa_S129,urine,7/29/18,MIZ207,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,f,NL,N,N,40,68.2,NA,N
RR034B_452_uaRa,RR034B_452_uaRa_S173,urine,7/29/18,MIZ208,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,m,A,N,N,45,72.9,NA,N
RR034B_453_uaRa,RR034B_453_uaRa_S217,urine,9/11/18,MIZ225,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,f,J,Y,N,40,65.5,NA,N
RR034B_454_uaRa,RR034B_454_uaRa_S261,urine,9/11/18,MIZ236,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,f,NL,N,N,55,70.2,NA,N
RR034B_455_uaRa,RR034B_455_uaRa_S226,urine,12/21/18,MIZ260,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,m,A,Y - last year,N,26,69,NA,N
RR034B_456_uaRa,RR034B_456_uaRa_S270,urine,12/21/18,MIZ261,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,f,L,N,Y,64,71.3,NA,N
RR034B_457_uaRa,RR034B_457_uaRa_S8,urine,12/21/18,MIZ262,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,f,L,N,Y,38,67,NA,N
RR034B_458_uaRa,RR034B_458_uaRa_S272,urine,12/21/18,MIZ265,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,m,A,N,N,56,72.2,NA,N
RR034B_459_uaRa,RR034B_459_uaRa_S10,urine,12/21/18,MIZ267,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,f,J,Y,Y,42,70.4,NA,N
RR034B_460_uaRa,RR034B_460_uaRa_S64,urine,12/21/18,MIZ271,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,f,L,N,Y,35,66.5,NA,N
RR034B_461_uaRa,RR034B_461_uaRa_S305,urine,12/22/18,MIZ274,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,m,A,N,N,38,65.5,NA,N
RR034B_462_uaRa,RR034B_462_uaRa_S43,urine,1/3/19,MIZ277,"Maromizaha, Madagascar",Rousettus madagascariensis,Y,,m,A,Y - last year,N,43,65.5,NA,N
RR034B_463_uaRa,RR034B_463_uaRa_S87,urine,1/3/19,MIZ278,"Maromizaha, Madagascar",Rousettus madagascariensis,N,,f,L,N,Y,40,70.8,NA,N
