czb_id,sample_name,sample_type,collection_date,sampleID,site,species,recap,previous_ID,sex,class,yoy,mom_baby_pair,mass_g,forearm_mm,age,CoV
RR034B_303_uaRa,RR034B_303_uaRa_S119,urine,1/19/16,AMB106,"Ambakoana, Madagascar",Pteropus rufus,,,m,A,,,680,160,2.304109589,N
RR034B_304_uaRa,RR034B_304_uaRa_S163,urine,1/21/16,AMB116,"Ambakoana, Madagascar",Pteropus rufus,,,m,A,,,790,165,2.309589041,N
RR034B_305_uaRa,RR034B_305_uaRa_S207,urine,2/23/18,AMB122,"Ambakoana, Madagascar",Pteropus rufus,N,,m,A,N,N,680,164,NA,N
RR034B_306_uaRa,RR034B_306_uaRa_S251,urine,4/16/18,AMB141,"Ambakoana, Madagascar",Pteropus rufus,N,,m,A,N,N,710,174,NA,N
RR034B_307_uaRa,RR034B_307_uaRa_S14,urine,11/18/13,AMB15,"Ambakoana, Madagascar",Pteropus rufus,,,m,J,,,130,96,NA,N
RR034B_308_uaRa,RR034B_308_uaRa_S264,urine,1/7/19,AMB160,"Ambakoana, Madagascar",Pteropus rufus,N,,f,A,N,N,535,162,NA,N
RR034B_309_uaRa,RR034B_309_uaRa_S308,urine,2/14/19,AMB162,"Ambakoana, Madagascar",Pteropus rufus,N,,m,A,N,N,680,174,NA,N
RR034B_310_uaRa,RR034B_310_uaRa_S115,urine,3/22/19,AMB165,"Ambakoana, Madagascar",Pteropus rufus,N,,m,A,N,N,575,163,NA,N
RR034B_311_uaRa,RR034B_311_uaRa_S25,urine,3/27/19,AMB170,"Ambakoana, Madagascar",Pteropus rufus,N,,m,J,Y,N,255,132.4,NA,N
RR034B_312_uaRa,RR034B_312_uaRa_S69,urine,3/28/19,AMB171,"Ambakoana, Madagascar",Pteropus rufus,N,,m,A,N,N,645,167,NA,N
RR034B_313_uaRa,RR034B_313_uaRa_S159,urine,3/31/19,AMB172,"Ambakoana, Madagascar",Pteropus rufus,N,,m,A,N,N,670,16.5,NA,N
RR034B_314_uaRa,RR034B_314_uaRa_S203,urine,3/31/19,AMB173,"Ambakoana, Madagascar",Pteropus rufus,N,,f,NL,N,N,395,146.7,NA,N
RR034B_315_uaRa,RR034B_315_uaRa_S247,urine,3/31/19,AMB174,"Ambakoana, Madagascar",Pteropus rufus,N,,m,A,N,N,735,174,NA,N
RR034B_316_uaRa,RR034B_316_uaRa_S167,urine,12/9/14,AMB61,"Ambakoana, Madagascar",Pteropus rufus,,,m,A,,,810,173,2.191780822,N
RR034B_317_uaRa,RR034B_317_uaRa_S211,urine,3/22/15,AMB76,"Ambakoana, Madagascar",Pteropus rufus,,,m,A,,,770,191,none,N
RR034B_318_uaRa,RR034B_318_uaRa_S121,urine,11/16/13,AMB8,"Ambakoana, Madagascar",Pteropus rufus,,,f,NL,,,640,166,none,N
RR034B_319_uaRa,RR034B_319_uaRa_S295,urine,5/11/15,AMB80,"Ambakoana, Madagascar",Pteropus rufus,,,m,A,,,860,176,2.610958904,N
RR034B_323_uaRa,RR034B_323_uaRa_S122,urine,4/9/18,ANGB135,"AngavoBe, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,320,133.9,NA,N
RR034B_324_uaRa,RR034B_324_uaRa_S280,urine,4/9/18,ANGB137,"AngavoBe, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,290,135.8,NA,N
RR034B_325_uaRa,RR034B_325_uaRa_S18,urine,4/9/18,ANGB138,"AngavoBe, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,295,126.8,NA,N
RR034B_326_uaRa,RR034B_326_uaRa_S166,urine,4/9/18,ANGB141,"AngavoBe, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,300,128.9,NA,N
RR034B_327_uaRa,RR034B_327_uaRa_S210,urine,4/9/18,ANGB142,"AngavoBe, Madagascar",Eidolon dupreanum,N,,m,A,N,N,370,131.6,NA,N
RR034B_328_uaRa,RR034B_328_uaRa_S120,urine,7/27/18,ANGB155,"AngavoBe, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,320,131.1,NA,N
RR034B_329_uaRa,RR034B_329_uaRa_S164,urine,9/9/18,ANGB158,"AngavoBe, Madagascar",Eidolon dupreanum,N,,f,P,N,N,385,134.5,NA,N
RR034B_330_uaRa,RR034B_330_uaRa_S146,urine,9/9/18,ANGB161,"AngavoBe, Madagascar",Eidolon dupreanum,N,,m,A,N,N,320,128.9,NA,N
RR034B_331_uaRa,RR034B_331_uaRa_S274,urine,1/10/16,KEL140,"AngavoKely, Madagascar",Eidolon dupreanum,,,m,A,,,320,131.3,none,N
RR034B_332_uaRa,RR034B_332_uaRa_S278,urine,1/10/16,KEL141,"AngavoKely, Madagascar",Eidolon dupreanum,,,f,NL,,,312,126,NA,N
RR034B_333_uaRa,RR034B_333_uaRa_S172,urine,2/15/18,KEL149,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,380,128.5,NA,N
RR034B_334_uaRa,RR034B_334_uaRa_S216,urine,2/15/18,KEL153,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,360,123,NA,N
RR034B_335_uaRa,RR034B_335_uaRa_S260,urine,2/15/18,KEL154,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,340,130,NA,N
RR034B_336_uaRa,RR034B_336_uaRa_S304,urine,2/15/18,KEL156,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,320,111.6,NA,N
RR034B_337_uaRa,RR034B_337_uaRa_S42,urine,2/15/18,KEL157,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,380,131.4,NA,N
RR034B_338_uaRa,RR034B_338_uaRa_S130,urine,2/15/18,KEL161,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,360,131.08,NA,N
RR034B_339_uaRa,RR034B_339_uaRa_S174,urine,2/15/18,KEL163,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,360,127,NA,N
RR034B_340_uaRa,RR034B_340_uaRa_S218,urine,2/15/18,KEL164,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,J,Y,N,230,112.9,NA,N
RR034B_341_uaRa,RR034B_341_uaRa_S262,urine,2/15/18,KEL165,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,355,124.6,NA,N
RR034B_342_uaRa,RR034B_342_uaRa_S306,urine,2/15/18,KEL166,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,J,Y,N,220,109.3,NA,N
RR034B_343_uaRa,RR034B_343_uaRa_S44,urine,2/15/18,KEL168,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,330,129.6,NA,N
RR034B_344_uaRa,RR034B_344_uaRa_S88,urine,2/15/18,KEL169,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,J,Y,N,205,107.7,NA,N
RR034B_345_uaRa,RR034B_345_uaRa_S132,urine,2/15/18,KEL170,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,355,124.3,NA,N
RR034B_346_uaRa,RR034B_346_uaRa_S176,urine,2/15/18,KEL171,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,J,Y,N,200,106.8,NA,N
RR034B_347_uaRa,RR034B_347_uaRa_S220,urine,2/15/18,KEL173,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,315,129.9,NA,N
RR034B_348_uaRa,RR034B_348_uaRa_S16,urine,2/16/18,KEL177,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,300,123.8,NA,N
RR034B_349_uaRa,RR034B_349_uaRa_S60,urine,2/16/18,KEL178,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,360,126,NA,N
RR034B_350_uaRa,RR034B_350_uaRa_S104,urine,4/9/18,KEL182,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,310,124.9,NA,Y
RR034B_351_uaRa,RR034B_351_uaRa_S148,urine,4/9/18,KEL183,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,245,132.2,NA,N
RR034B_352_uaRa,RR034B_352_uaRa_S126,urine,4/9/18,KEL184,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,295,129.25,NA,Y
RR034B_353_uaRa,RR034B_353_uaRa_S170,urine,4/10/18,KEL186,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,265,131.1,NA,N
RR034B_354_uaRa,RR034B_354_uaRa_S214,urine,4/10/18,KEL187,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,320,131.6,NA,N
RR034B_355_uaRa,RR034B_355_uaRa_S258,urine,4/10/18,KEL192,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,315,130.3,NA,N
RR034B_356_uaRa,RR034B_356_uaRa_S302,urine,4/10/18,KEL193,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,J,Y,N,300,127.2,NA,N
RR034B_357_uaRa,RR034B_357_uaRa_S40,urine,4/10/18,KEL194,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,345,129,NA,N
RR034B_358_uaRa,RR034B_358_uaRa_S84,urine,4/10/18,KEL196,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,300,128.6,NA,N
RR034B_359_uaRa,RR034B_359_uaRa_S128,urine,4/10/18,KEL197,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,310,134.5,NA,N
RR034B_360_uaRa,RR034B_360_uaRa_S80,urine,4/10/18,KEL200,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,340,136.1,NA,N
RR034B_361_uaRa,RR034B_361_uaRa_S124,urine,4/10/18,KEL202,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,340,132.6,NA,N
RR034B_362_uaRa,RR034B_362_uaRa_S168,urine,4/10/18,KEL204,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,310,126.7,NA,N
RR034B_363_uaRa,RR034B_363_uaRa_S192,urine,4/10/18,KEL205,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,320,134,NA,N
RR034B_364_uaRa,RR034B_364_uaRa_S212,urine,4/10/18,KEL206,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,J,Y,N,300,130.1,NA,N
RR034B_365_uaRa,RR034B_365_uaRa_S256,urine,4/10/18,KEL208,"AngavoKely, Madagascar",Eidolon dupreanum,Y,,f,NL,N,N,310,126.2,NA,N
RR034B_366_uaRa,RR034B_366_uaRa_S300,urine,4/10/18,KEL209,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,265,131.7,NA,N
RR034B_367_uaRa,RR034B_367_uaRa_S236,urine,4/10/18,KEL210,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,280,124.1,NA,N
RR034B_368_uaRa,RR034B_368_uaRa_S38,urine,4/10/18,KEL211,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,310,131.5,NA,N
RR034B_369_uaRa,RR034B_369_uaRa_S82,urine,4/10/18,KEL212,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,300,130.2,NA,N
RR034B_370_uaRa,RR034B_370_uaRa_S254,urine,7/27/18,KEL216,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,330,128.3,NA,N
RR034B_371_uaRa,RR034B_371_uaRa_S102,urine,7/27/18,KEL220,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,300,123.4,NA,N
RR034B_372_uaRa,RR034B_372_uaRa_S208,urine,7/27/18,KEL223,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,350,133.9,NA,N
RR034B_373_uaRa,RR034B_373_uaRa_S298,urine,7/27/18,KEL226,"AngavoKely, Madagascar",Eidolon dupreanum,Y,,m,A,N,N,340,115.9,NA,N
RR034B_374_uaRa,RR034B_374_uaRa_S252,urine,7/27/18,KEL227,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,NL,N,N,330,127.6,NA,N
RR034B_375_uaRa,RR034B_375_uaRa_S292,urine,7/27/18,KEL228,"AngavoKely, Madagascar",Eidolon dupreanum,N,,f,J,Y,N,230,118,NA,N
RR034B_376_uaRa,RR034B_376_uaRa_S36,urine,7/27/18,KEL230,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,310,127.4,NA,N
RR034B_377_uaRa,RR034B_377_uaRa_S58,urine,7/27/18,KEL232,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,340,126.8,NA,N
RR034B_378_uaRa,RR034B_378_uaRa_S34,urine,7/27/18,KEL235,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,A,N,N,350,130.8,NA,N
RR034B_379_uaRa,RR034B_379_uaRa_S78,urine,7/27/18,KEL236,"AngavoKely, Madagascar",Eidolon dupreanum,N,,m,J,Y,N,310,116.5,NA,N
RR034B_380_uaRa,RR034B_380_uaRa_S162,urine,1/6/19,KEL242,"AngavoKely, Madagascar",Eidolon dupreanum,Y,,m,A,N,N,335,125.6,NA,N
