czb_id,sample_name,sample_type,nucleotide_type,collection_date,host_genus_species,sampleID,site,recap,previous_ID,sex,class,yoy,mom_baby_pair,mass_g,forearm_mm,CoV
RR034B_037_fecRa,RR034B_037_fecRa_S162,feces,RNA,1/6/19,Pteropus rufus,AMB158,"Ambakoana, Madagascar",N,,m,A,N,N,790,172,N
RR034B_038_fecRa,RR034B_038_fecRa_S164,feces,RNA,1/6/19,Pteropus rufus,AMB159,"Ambakoana, Madagascar",N,,f,A,N,N,560,164,N
RR034B_039_fecRa,RR034B_039_fecRa_S166,feces,RNA,1/7/19,Pteropus rufus,AMB160,"Ambakoana, Madagascar",N,,f,A,N,N,535,162,N
RR034B_040_fecRa,RR034B_040_fecRa_S168,feces,RNA,2/14/18,Eidolon dupreanum,ANGB125,"AngavoBe, Madagascar",N,,m,A,N,N,385,137.6,N
RR034B_042_fecRa,RR034B_042_fecRa_S186,feces,RNA,2/14/18,Eidolon dupreanum,ANGB127,"AngavoBe, Madagascar",N,,m,A,N,N,295,130.5,Y
RR034B_043_fecRa,RR034B_043_fecRa_S188,feces,RNA,2/14/18,Eidolon dupreanum,ANGB128,"AngavoBe, Madagascar",N,,m,A,N,N,325,134.1,N
RR034B_044_fecRa,RR034B_044_fecRa_S190,feces,RNA,2/14/18,Eidolon dupreanum,ANGB129,"AngavoBe, Madagascar",N,,f,NL,N,N,--,128.5,N
RR034B_045_fecRa,RR034B_045_fecRa_S192,feces,RNA,2/14/18,Eidolon dupreanum,ANGB130,"AngavoBe, Madagascar",N,,f,NL,N,N,330,129.2,N
RR034B_046_fecRa,RR034B_046_fecRa_S194,feces,RNA,2/14/18,Eidolon dupreanum,ANGB131,"AngavoBe, Madagascar",N,,f,NL,N,N,310,138.2,N
RR034B_047_fecRa,RR034B_047_fecRa_S196,feces,RNA,2/14/18,Eidolon dupreanum,ANGB132,"AngavoBe, Madagascar",N,,m,A,N,N,350,130.6,N
RR034B_048_fecRa,RR034B_048_fecRa_S12,feces,RNA,2/14/18,Eidolon dupreanum,ANGB133,"AngavoBe, Madagascar",N,,f,NL,N,N,285,132.2,N
RR034B_049_fecRa,RR034B_049_fecRa_S14,feces,RNA,4/9/18,Eidolon dupreanum,ANGB134,"AngavoBe, Madagascar",N,,f,NL,N,N,290,127.7,N
RR034B_050_fecRa,RR034B_050_fecRa_S16,feces,RNA,4/9/18,Eidolon dupreanum,ANGB135,"AngavoBe, Madagascar",N,,f,NL,N,N,320,133.9,N
RR034B_051_fecRa,RR034B_051_fecRa_S18,feces,RNA,4/9/18,Eidolon dupreanum,ANGB136,"AngavoBe, Madagascar",N,,f,NL,N,N,290,127.7,N
RR034B_052_fecRa,RR034B_052_fecRa_S20,feces,RNA,4/9/18,Eidolon dupreanum,ANGB137,"AngavoBe, Madagascar",N,,f,NL,N,N,290,135.8,N
RR034B_053_fecRa,RR034B_053_fecRa_S22,feces,RNA,4/9/18,Eidolon dupreanum,ANGB138,"AngavoBe, Madagascar",N,,f,NL,N,N,295,126.8,N
RR034B_054_fecRa,RR034B_054_fecRa_S24,feces,RNA,4/9/18,Eidolon dupreanum,ANGB139,"AngavoBe, Madagascar",N,,f,NL,N,N,320,133.8,N
RR034B_055_fecRa,RR034B_055_fecRa_S40,feces,RNA,4/9/18,Eidolon dupreanum,ANGB140,"AngavoBe, Madagascar",N,,f,NL,N,N,310,126.6,Y
RR034B_056_fecRa,RR034B_056_fecRa_S44,feces,RNA,4/9/18,Eidolon dupreanum,ANGB141,"AngavoBe, Madagascar",N,,f,NL,N,N,300,128.9,N
RR034B_057_fecRa,RR034B_057_fecRa_S46,feces,RNA,4/9/18,Eidolon dupreanum,ANGB142,"AngavoBe, Madagascar",N,,m,A,N,N,370,131.6,Y
RR034B_058_fecRa,RR034B_058_fecRa_S48,feces,RNA,7/27/18,Eidolon dupreanum,ANGB143,"AngavoBe, Madagascar",N,,f,NL,N,N,300,132.7,Y
RR034B_059_fecRa,RR034B_059_fecRa_S50,feces,RNA,7/27/18,Eidolon dupreanum,ANGB144,"AngavoBe, Madagascar",N,,f,NL,N,N,281,124.2,N
RR034B_060_fecRa,RR034B_060_fecRa_S52,feces,RNA,7/27/18,Eidolon dupreanum,ANGB145,"AngavoBe, Madagascar",N,,f,NL,N,N,320,129.9,Y
RR034B_061_fecRa,RR034B_061_fecRa_S68,feces,RNA,7/27/18,Eidolon dupreanum,ANGB146,"AngavoBe, Madagascar",N,,m,J,Y,N,250,122.3,Y
RR034B_062_fecRa,RR034B_062_fecRa_S70,feces,RNA,7/27/18,Eidolon dupreanum,ANGB147,"AngavoBe, Madagascar",N,,f,NL,N,N,320,125.2,Y
RR034B_063_fecRa,RR034B_063_fecRa_S72,feces,RNA,7/27/18,Eidolon dupreanum,ANGB148,"AngavoBe, Madagascar",N,,f,NL,N,N,300,129.3,N
RR034B_064_fecRa,RR034B_064_fecRa_S74,feces,RNA,7/27/18,Eidolon dupreanum,ANGB149,"AngavoBe, Madagascar",N,,f,NL,N,N,280,125.5,Y
RR034B_065_fecRa,RR034B_065_fecRa_S76,feces,RNA,7/27/18,Eidolon dupreanum,ANGB150,"AngavoBe, Madagascar",N,,f,NL,N,N,330,129.5,N
RR034B_066_fecRa,RR034B_066_fecRa_S78,feces,RNA,7/27/18,Eidolon dupreanum,ANGB151,"AngavoBe, Madagascar",N,,f,NL,N,N,340,128.2,Y
RR034B_067_fecRa,RR034B_067_fecRa_S80,feces,RNA,7/27/18,Eidolon dupreanum,ANGB152,"AngavoBe, Madagascar",N,,f,NL,N,N,320,132.6,N
RR034B_068_fecRa,RR034B_068_fecRa_S96,feces,RNA,7/27/18,Eidolon dupreanum,ANGB153,"AngavoBe, Madagascar",N,,f,NL,N,N,310,134.4,N
RR034B_069_fecRa,RR034B_069_fecRa_S98,feces,RNA,7/27/18,Eidolon dupreanum,ANGB154,"AngavoBe, Madagascar",N,,f,NL,N,N,340,125.1,N
RR034B_070_fecRa,RR034B_070_fecRa_S100,feces,RNA,7/27/18,Eidolon dupreanum,ANGB155,"AngavoBe, Madagascar",N,,f,NL,N,N,320,131.1,Y
RR034B_071_fecRa,RR034B_071_fecRa_S102,feces,RNA,9/9/18,Eidolon dupreanum,ANGB156,"AngavoBe, Madagascar",Y,,m,A,N,N,340,125.3,N
RR034B_072_fecRa,RR034B_072_fecRa_S104,feces,RNA,9/9/18,Eidolon dupreanum,ANGB157,"AngavoBe, Madagascar",N,,m,A,N,N,365,129.9,N
RR034B_073_fecRa,RR034B_073_fecRa_S106,feces,RNA,9/9/18,Eidolon dupreanum,ANGB158,"AngavoBe, Madagascar",N,,f,P,N,N,385,134.5,N
RR034B_074_fecRa,RR034B_074_fecRa_S108,feces,RNA,9/9/18,Eidolon dupreanum,ANGB159,"AngavoBe, Madagascar",N,,f,P,N,N,340,134.3,Y
RR034B_075_fecRa,RR034B_075_fecRa_S2,feces,RNA,9/9/18,Eidolon dupreanum,ANGB160,"AngavoBe, Madagascar",N,,m,A,N,N,360,126.2,N
RR034B_076_fecRa,RR034B_076_fecRa_S4,feces,RNA,9/9/18,Eidolon dupreanum,ANGB161,"AngavoBe, Madagascar",N,,m,A,N,N,320,128.9,N
RR034B_078_fecRa,RR034B_078_fecRa_S10,feces,RNA,9/9/18,Eidolon dupreanum,ANGB163,"AngavoBe, Madagascar",N,,m,A,N,N,345,131.7,N
RR034B_079_fecRa,RR034B_079_fecRa_S12,feces,RNA,2/15/18,Eidolon dupreanum,KEL148,"AngavoKely, Madagascar",N,,m,A,N,N,350,127,N
RR034B_080_fecRa,RR034B_080_fecRa_S14,feces,RNA,2/15/18,Eidolon dupreanum,KEL150,"AngavoKely, Madagascar",N,,f,NL,N,N,335,130.9,N
RR034B_081_fecRa,RR034B_081_fecRa_S30,feces,RNA,2/15/18,Eidolon dupreanum,KEL151,"AngavoKely, Madagascar",N,,f,NL,N,N,330,124.3,N
RR034B_082_fecRa,RR034B_082_fecRa_S32,feces,RNA,2/15/18,Eidolon dupreanum,KEL152,"AngavoKely, Madagascar",N,,f,NL,N,N,350,128.8,N
RR034B_083_fecRa,RR034B_083_fecRa_S34,feces,RNA,2/15/18,Eidolon dupreanum,KEL153,"AngavoKely, Madagascar",N,,f,NL,N,N,360,123,N
RR034B_084_fecRa,RR034B_084_fecRa_S36,feces,RNA,2/15/18,Eidolon dupreanum,KEL154,"AngavoKely, Madagascar",N,,f,NL,N,N,340,130,N
RR034B_085_fecRa,RR034B_085_fecRa_S38,feces,RNA,2/15/18,Eidolon dupreanum,KEL155,"AngavoKely, Madagascar",N,,f,NL,N,N,340,122.8,N
RR034B_086_fecRa,RR034B_086_fecRa_S40,feces,RNA,2/15/18,Eidolon dupreanum,KEL156,"AngavoKely, Madagascar",N,,m,A,N,N,320,111.6,N
RR034B_087_fecRa,RR034B_087_fecRa_S42,feces,RNA,2/15/18,Eidolon dupreanum,KEL157,"AngavoKely, Madagascar",N,,f,NL,N,N,380,131.4,N
RR034B_088_fecRa,RR034B_088_fecRa_S58,feces,RNA,2/15/18,Eidolon dupreanum,KEL158,"AngavoKely, Madagascar",N,,f,J,Y,N,295,130.1,N
RR034B_089_fecRa,RR034B_089_fecRa_S60,feces,RNA,2/15/18,Eidolon dupreanum,KEL159,"AngavoKely, Madagascar",N,,m,J,Y,N,275,122.3,Y
RR034B_090_fecRa,RR034B_090_fecRa_S62,feces,RNA,2/15/18,Eidolon dupreanum,KEL160,"AngavoKely, Madagascar",N,,f,NL,N,N,325,120.9,N
RR034B_091_fecRa,RR034B_091_fecRa_S64,feces,RNA,2/15/18,Eidolon dupreanum,KEL161,"AngavoKely, Madagascar",N,,m,A,N,N,360,131.08,N
RR034B_092_fecRa,RR034B_092_fecRa_S66,feces,RNA,2/15/18,Eidolon dupreanum,KEL162,"AngavoKely, Madagascar",N,,f,NL,N,N,400,128.8,N
RR034B_093_fecRa,RR034B_093_fecRa_S68,feces,RNA,2/15/18,Eidolon dupreanum,KEL163,"AngavoKely, Madagascar",N,,f,NL,N,N,360,127,N
RR034B_094_fecRa,RR034B_094_fecRa_S70,feces,RNA,2/15/18,Eidolon dupreanum,KEL164,"AngavoKely, Madagascar",N,,f,J,Y,N,230,112.9,Y
RR034B_095_fecRa,RR034B_095_fecRa_S86,feces,RNA,2/15/18,Eidolon dupreanum,KEL165,"AngavoKely, Madagascar",N,,f,NL,N,N,355,124.6,N
RR034B_096_fecRa,RR034B_096_fecRa_S88,feces,RNA,2/15/18,Eidolon dupreanum,KEL166,"AngavoKely, Madagascar",N,,f,J,Y,N,220,109.3,Y
RR034B_097_fecRa,RR034B_097_fecRa_S90,feces,RNA,2/15/18,Eidolon dupreanum,KEL167,"AngavoKely, Madagascar",N,,f,NL,N,N,300,126,N
RR034B_098_fecRa,RR034B_098_fecRa_S92,feces,RNA,2/15/18,Eidolon dupreanum,KEL168,"AngavoKely, Madagascar",N,,f,NL,N,N,330,129.6,N
RR034B_099_fecRa,RR034B_099_fecRa_S96,feces,RNA,2/15/18,Eidolon dupreanum,KEL169,"AngavoKely, Madagascar",N,,m,J,Y,N,205,107.7,Y
RR034B_100_fecRa,RR034B_100_fecRa_S98,feces,RNA,2/15/18,Eidolon dupreanum,KEL170,"AngavoKely, Madagascar",N,,f,NL,N,N,355,124.3,N
RR034B_101_fecRa,RR034B_101_fecRa_S114,feces,RNA,2/15/18,Eidolon dupreanum,KEL171,"AngavoKely, Madagascar",N,,m,J,Y,N,200,106.8,Y
RR034B_102_fecRa,RR034B_102_fecRa_S118,feces,RNA,2/15/18,Eidolon dupreanum,KEL172,"AngavoKely, Madagascar",N,,f,NL,N,N,360,134.3,N
RR034B_103_fecRa,RR034B_103_fecRa_S120,feces,RNA,2/15/18,Eidolon dupreanum,KEL173,"AngavoKely, Madagascar",N,,f,NL,N,N,315,129.9,N
RR034B_104_fecRa,RR034B_104_fecRa_S122,feces,RNA,2/16/18,Eidolon dupreanum,KEL174,"AngavoKely, Madagascar",N,,f,NL,N,N,300,122.8,N
RR034B_105_fecRa,RR034B_105_fecRa_S124,feces,RNA,2/16/18,Eidolon dupreanum,KEL175,"AngavoKely, Madagascar",N,,f,NL,N,N,330,133.9,N
RR034B_106_fecRa,RR034B_106_fecRa_S126,feces,RNA,2/16/18,Eidolon dupreanum,KEL176,"AngavoKely, Madagascar",N,,f,NL,N,N,355,132.3,N
RR034B_108_fecRa,RR034B_108_fecRa_S144,feces,RNA,2/16/18,Eidolon dupreanum,KEL178,"AngavoKely, Madagascar",N,,f,NL,N,N,360,126,N
RR034B_109_fecRa,RR034B_109_fecRa_S146,feces,RNA,2/16/18,Eidolon dupreanum,KEL179,"AngavoKely, Madagascar",Y,,m,A,N,N,310,130.5,N
RR034B_110_fecRa,RR034B_110_fecRa_S148,feces,RNA,4/9/18,Eidolon dupreanum,KEL180,"AngavoKely, Madagascar",N,,f,NL,N,N,270,128.3,Y
RR034B_111_fecRa,RR034B_111_fecRa_S150,feces,RNA,4/9/18,Eidolon dupreanum,KEL181,"AngavoKely, Madagascar",N,,m,A,N,N,350,132.4,Y
RR034B_112_fecRa,RR034B_112_fecRa_S152,feces,RNA,4/9/18,Eidolon dupreanum,KEL182,"AngavoKely, Madagascar",N,,f,NL,N,N,310,124.9,Y
RR034B_113_fecRa,RR034B_113_fecRa_S154,feces,RNA,4/9/18,Eidolon dupreanum,KEL183,"AngavoKely, Madagascar",N,,f,NL,N,N,245,132.2,Y
RR034B_114_fecRa,RR034B_114_fecRa_S170,feces,RNA,4/9/18,Eidolon dupreanum,KEL184,"AngavoKely, Madagascar",N,,f,NL,N,N,295,129.25,N
RR034B_115_fecRa,RR034B_115_fecRa_S172,feces,RNA,4/10/18,Eidolon dupreanum,KEL185,"AngavoKely, Madagascar",N,,f,NL,N,N,345,130.4,N
RR034B_116_fecRa,RR034B_116_fecRa_S174,feces,RNA,4/10/18,Eidolon dupreanum,KEL186,"AngavoKely, Madagascar",N,,f,NL,N,N,265,131.1,N
RR034B_118_fecRa,RR034B_118_fecRa_S178,feces,RNA,4/10/18,Eidolon dupreanum,KEL188,"AngavoKely, Madagascar",N,,f,NL,N,N,330,128.1,N
RR034B_119_fecRa,RR034B_119_fecRa_S180,feces,RNA,4/10/18,Eidolon dupreanum,KEL189,"AngavoKely, Madagascar",Y,,f,NL,N,N,320,128.9,N
RR034B_120_fecRa,RR034B_120_fecRa_S182,feces,RNA,4/10/18,Eidolon dupreanum,KEL190,"AngavoKely, Madagascar",N,,f,NL,N,N,310,129.6,N
RR034B_121_fecRa,RR034B_121_fecRa_S198,feces,RNA,4/10/18,Eidolon dupreanum,KEL191,"AngavoKely, Madagascar",N,,f,NL,N,N,325,134,Y
RR034B_122_fecRa,RR034B_122_fecRa_S2,feces,RNA,4/10/18,Eidolon dupreanum,KEL192,"AngavoKely, Madagascar",N,,f,NL,N,N,315,130.3,Y
RR034B_123_fecRa,RR034B_123_fecRa_S4,feces,RNA,4/10/18,Eidolon dupreanum,KEL193,"AngavoKely, Madagascar",N,,f,J,Y,N,300,127.2,Y
RR034B_124_fecRa,RR034B_124_fecRa_S6,feces,RNA,4/10/18,Eidolon dupreanum,KEL194,"AngavoKely, Madagascar",N,,f,NL,N,N,345,129,N
RR034B_125_fecRa,RR034B_125_fecRa_S8,feces,RNA,4/10/18,Eidolon dupreanum,KEL195,"AngavoKely, Madagascar",Y,,m,A,N,N,350,30.7,Y
RR034B_126_fecRa,RR034B_126_fecRa_S10,feces,RNA,4/10/18,Eidolon dupreanum,KEL196,"AngavoKely, Madagascar",N,,f,NL,N,N,300,128.6,Y
RR034B_127_fecRa,RR034B_127_fecRa_S26,feces,RNA,4/10/18,Eidolon dupreanum,KEL197,"AngavoKely, Madagascar",N,,f,NL,N,N,310,134.5,N
RR034B_128_fecRa,RR034B_128_fecRa_S28,feces,RNA,4/10/18,Eidolon dupreanum,KEL198,"AngavoKely, Madagascar",N,,m,A,N,N,320,130.4,N
RR034B_129_fecRa,RR034B_129_fecRa_S30,feces,RNA,4/10/18,Eidolon dupreanum,KEL199,"AngavoKely, Madagascar",N,,f,NL,N,N,270,127,Y
RR034B_130_fecRa,RR034B_130_fecRa_S32,feces,RNA,4/10/18,Eidolon dupreanum,KEL200,"AngavoKely, Madagascar",N,,f,NL,N,N,340,136.1,Y
RR034B_131_fecRa,RR034B_131_fecRa_S34,feces,RNA,4/10/18,Eidolon dupreanum,KEL201,"AngavoKely, Madagascar",N,,f,NL,N,N,340,128,N
RR034B_132_fecRa,RR034B_132_fecRa_S36,feces,RNA,4/10/18,Eidolon dupreanum,KEL202,"AngavoKely, Madagascar",N,,f,NL,N,N,340,132.6,N
RR034B_133_fecRa,RR034B_133_fecRa_S38,feces,RNA,4/10/18,Eidolon dupreanum,KEL203,"AngavoKely, Madagascar",N,,f,NL,N,N,320,130.5,N
RR034B_134_fecRa,RR034B_134_fecRa_S54,feces,RNA,4/10/18,Eidolon dupreanum,KEL204,"AngavoKely, Madagascar",N,,f,NL,N,N,310,126.7,N
RR034B_135_fecRa,RR034B_135_fecRa_S56,feces,RNA,4/10/18,Eidolon dupreanum,KEL205,"AngavoKely, Madagascar",N,,f,NL,N,N,320,134,N
RR034B_136_fecRa,RR034B_136_fecRa_S58,feces,RNA,4/10/18,Eidolon dupreanum,KEL206,"AngavoKely, Madagascar",N,,f,J,Y,N,300,130.1,N
RR034B_137_fecRa,RR034B_137_fecRa_S60,feces,RNA,4/10/18,Eidolon dupreanum,KEL207,"AngavoKely, Madagascar",N,,f,NL,N,N,270,130,N
RR034B_138_fecRa,RR034B_138_fecRa_S62,feces,RNA,4/10/18,Eidolon dupreanum,KEL208,"AngavoKely, Madagascar",Y,,f,NL,N,N,310,126.2,N
RR034B_139_fecRa,RR034B_139_fecRa_S64,feces,RNA,4/10/18,Eidolon dupreanum,KEL209,"AngavoKely, Madagascar",N,,f,NL,N,N,265,131.7,N
RR034B_140_fecRa,RR034B_140_fecRa_S66,feces,RNA,4/10/18,Eidolon dupreanum,KEL210,"AngavoKely, Madagascar",N,,f,NL,N,N,280,124.1,N
RR034B_141_fecRa,RR034B_141_fecRa_S82,feces,RNA,4/10/18,Eidolon dupreanum,KEL211,"AngavoKely, Madagascar",N,,f,NL,N,N,310,131.5,N
RR034B_142_fecRa,RR034B_142_fecRa_S84,feces,RNA,4/10/18,Eidolon dupreanum,KEL212,"AngavoKely, Madagascar",N,,f,NL,N,N,300,130.2,N
RR034B_143_fecRa,RR034B_143_fecRa_S86,feces,RNA,7/27/18,Eidolon dupreanum,KEL213,"AngavoKely, Madagascar",N,,m,A,N,N,320,129.5,Y
RR034B_145_fecRa,RR034B_145_fecRa_S90,feces,RNA,7/27/18,Eidolon dupreanum,KEL215,"AngavoKely, Madagascar",N,,f,J,Y,N,200,120.2,Y
RR034B_146_fecRa,RR034B_146_fecRa_S92,feces,RNA,7/27/18,Eidolon dupreanum,KEL216,"AngavoKely, Madagascar",N,,f,NL,N,N,330,128.3,N
RR034B_147_fecRa,RR034B_147_fecRa_S94,feces,RNA,7/27/18,Eidolon dupreanum,KEL217,"AngavoKely, Madagascar",Y,,m,A,N,N,320,124.1,N
RR034B_148_fecRa,RR034B_148_fecRa_S15,feces,RNA,7/27/18,Eidolon dupreanum,KEL218,"AngavoKely, Madagascar",N,,f,NL,N,N,300,127.2,Y
RR034B_149_fecRa,RR034B_149_fecRa_S19,feces,RNA,7/27/18,Eidolon dupreanum,KEL219,"AngavoKely, Madagascar",N,,m,A,N,N,340,131.7,Y
RR034B_150_fecRa,RR034B_150_fecRa_S21,feces,RNA,7/27/18,Eidolon dupreanum,KEL220,"AngavoKely, Madagascar",N,,m,A,N,N,300,123.4,N
RR034B_151_fecRa,RR034B_151_fecRa_S23,feces,RNA,7/27/18,Eidolon dupreanum,KEL221,"AngavoKely, Madagascar",N,,m,J,Y,N,240,122.5,N
RR034B_152_fecRa,RR034B_152_fecRa_S25,feces,RNA,7/27/18,Eidolon dupreanum,KEL222,"AngavoKely, Madagascar",N,,f,NL,N,N,300,131.7,N
RR034B_153_fecRa,RR034B_153_fecRa_S27,feces,RNA,7/27/18,Eidolon dupreanum,KEL223,"AngavoKely, Madagascar",N,,m,A,N,N,350,133.9,N
RR034B_154_fecRa,RR034B_154_fecRa_S43,feces,RNA,7/27/18,Eidolon dupreanum,KEL224,"AngavoKely, Madagascar",N,,m,A,N,N,370,131.4,N
RR034B_155_fecRa,RR034B_155_fecRa_S47,feces,RNA,7/27/18,Eidolon dupreanum,KEL225,"AngavoKely, Madagascar",N,,m,A,N,N,320,124.8,Y
RR034B_156_fecRa,RR034B_156_fecRa_S49,feces,RNA,7/27/18,Eidolon dupreanum,KEL226,"AngavoKely, Madagascar",Y,,m,A,N,N,340,115.9,Y
RR034B_157_fecRa,RR034B_157_fecRa_S51,feces,RNA,7/27/18,Eidolon dupreanum,KEL227,"AngavoKely, Madagascar",N,,f,NL,N,N,330,127.6,N
RR034B_158_fecRa,RR034B_158_fecRa_S53,feces,RNA,7/27/18,Eidolon dupreanum,KEL228,"AngavoKely, Madagascar",N,,f,J,Y,N,230,118,Y
RR034B_159_fecRa,RR034B_159_fecRa_S55,feces,RNA,7/27/18,Eidolon dupreanum,KEL229,"AngavoKely, Madagascar",N,,m,A,N,N,340,131.6,N
RR034B_160_fecRa,RR034B_160_fecRa_S71,feces,RNA,7/27/18,Eidolon dupreanum,KEL230,"AngavoKely, Madagascar",N,,m,A,N,N,310,127.4,Y
RR034B_161_fecRa,RR034B_161_fecRa_S73,feces,RNA,7/27/18,Eidolon dupreanum,KEL231,"AngavoKely, Madagascar",N,,m,A,N,N,310,128.9,N
