czb_id,sample_name,sample_type,nucleotide_type,collection_date,host_genus_species,sampleID,site,recap,previous_ID,sex,class,yoy,mom_baby_pair,mass_g,forearm_mm,CoV
RR034B_001_fecRa,RR034B_001_fecRa_S16,feces,RNA,4/18/18,Asio madagascariensis,AMAK001,"Ambakoana, Madagascar",,,f,,,,685,145,N
RR034B_002_fecRa,RR034B_002_fecRa_S18,feces,RNA,2/23/18,Pteropus rufus,AMB122,"Ambakoana, Madagascar",N,,m,A,N,N,680,164,N
RR034B_003_fecRa,RR034B_003_fecRa_S20,feces,RNA,2/23/18,Pteropus rufus,AMB123,"Ambakoana, Madagascar",N,,m,A,N,N,750,174,N
RR034B_004_fecRa,RR034B_004_fecRa_S22,feces,RNA,2/23/18,Pteropus rufus,AMB124,"Ambakoana, Madagascar",N,,f,NL,Y,N,470,156,Y
RR034B_006_fecRa,RR034B_006_fecRa_S24,feces,RNA,2/24/18,Pteropus rufus,AMB126,"Ambakoana, Madagascar",N,,m,A,N,N,790,178,N
RR034B_007_fecRa,RR034B_007_fecRa_S28,feces,RNA,2/24/18,Pteropus rufus,AMB127,"Ambakoana, Madagascar",N,,f,NL,Y,N,550,159,N
RR034B_008_fecRa,RR034B_008_fecRa_S26,feces,RNA,2/25/18,Pteropus rufus,AMB128,"Ambakoana, Madagascar",N,,f, NL,Y,N,390,144,N
RR034B_008_fecRb,RR034B_008_fecRb_S44,feces,RNA,2/25/18,Pteropus rufus,AMB128,"Ambakoana, Madagascar",N,,f, NL,Y,N,390,144,N
RR034B_009_fecRa,RR034B_009_fecRa_S46,feces,RNA,2/25/18,Pteropus rufus,AMB129,"Ambakoana, Madagascar",N,,m,A,maybe,N,580,167,N
RR034B_010_fecRa,RR034B_010_fecRa_S48,feces,RNA,2/26/18,Pteropus rufus,AMB130,"Ambakoana, Madagascar",N,,f,NL,N,N,565,168,Y
RR034B_011_fecRa,RR034B_011_fecRa_S50,feces,RNA,2/27/18,Pteropus rufus,AMB131,"Ambakoana, Madagascar",N,,f,NL,maybe,N,580,167,N
RR034B_012_fecRa,RR034B_012_fecRa_S52,feces,RNA,2/28/18,Pteropus rufus,AMB132,"Ambakoana, Madagascar",N,,m,A,N,N,685,168,N
RR034B_013_fecRa,RR034B_013_fecRa_S54,feces,RNA,2/28/18,Pteropus rufus,AMB133,"Ambakoana, Madagascar",N,,m,J,Y,N,370,155,N
RR034B_014_fecRa,RR034B_014_fecRa_S56,feces,RNA,3/1/18,Pteropus rufus,AMB134,"Ambakoana, Madagascar",N,,m,A,N,N,730,168,N
RR034B_015_fecRa,RR034B_015_fecRa_S72,feces,RNA,3/1/18,Pteropus rufus,AMB135,"Ambakoana, Madagascar",N,,m,A,N,N,770,178,N
RR034B_016_fecRa,RR034B_016_fecRa_S74,feces,RNA,3/1/18,Pteropus rufus,AMB137,"Ambakoana, Madagascar",N,,f,J,Y,N,350,140.3,Y
RR034B_017_fecRa,RR034B_017_fecRa_S76,feces,RNA,3/2/18,Pteropus rufus,AMB138,"Ambakoana, Madagascar",N,,m,A,N,N,785,169,N
RR034B_018_fecRa,RR034B_018_fecRa_S78,feces,RNA,3/2/18,Pteropus rufus,AMB139,"Ambakoana, Madagascar",N,,m,A,N,N,670,164,N
RR034B_019_fecRa,RR034B_019_fecRa_S80,feces,RNA,4/16/18,Pteropus rufus,AMB140,"Ambakoana, Madagascar",N,,f,J,Y,N,315,138,N
RR034B_020_fecRa,RR034B_020_fecRa_S82,feces,RNA,4/16/18,Pteropus rufus,AMB141,"Ambakoana, Madagascar",N,,m,A,N,N,710,174,N
RR034B_021_fecRa,RR034B_021_fecRa_S84,feces,RNA,4/17/18,Pteropus rufus,AMB142,"Ambakoana, Madagascar",N,,m, J,Y,N,310,141,Y
RR034B_022_fecRa,RR034B_022_fecRa_S100,feces,RNA,4/17/18,Pteropus rufus,AMB143,"Ambakoana, Madagascar",N,,m,A,N,N,880,170,N
RR034B_023_fecRa,RR034B_023_fecRa_S102,feces,RNA,4/17/18,Pteropus rufus,AMB144,"Ambakoana, Madagascar",N,,m, J,Y,N,460,151,N
RR034B_024_fecRa,RR034B_024_fecRa_S104,feces,RNA,4/18/18,Pteropus rufus,AMB145,"Ambakoana, Madagascar",N,,m,A,N,N,630,167,N
RR034B_025_fecRa,RR034B_025_fecRa_S106,feces,RNA,4/19/18,Pteropus rufus,AMB146,"Ambakoana, Madagascar",N,,m, J,Y,N,400,145,N
RR034B_026_fecRa,RR034B_026_fecRa_S108,feces,RNA,4/21/18,Pteropus rufus,AMB147,"Ambakoana, Madagascar",N,,m,A,N,N,620,167,N
RR034B_028_fecRa,RR034B_028_fecRa_S112,feces,RNA,8/5/18,Pteropus rufus,AMB149,"Ambakoana, Madagascar",N,,f,NL,N,N,480,145.5,N
RR034B_029_fecRa,RR034B_029_fecRa_S130,feces,RNA,8/6/18,Pteropus rufus,AMB150,"Ambakoana, Madagascar",N,,m,A,N,N,415,146.9,N
RR034B_030_fecRa,RR034B_030_fecRa_S132,feces,RNA,8/7/18,Pteropus rufus,AMB151,"Ambakoana, Madagascar",N,,m,A,N,N,550,168,N
RR034B_031_fecRa,RR034B_031_fecRa_S134,feces,RNA,8/7/18,Pteropus rufus,AMB152,"Ambakoana, Madagascar",N,,m,A,N,N,660,170,N
RR034B_032_fecRa,RR034B_032_fecRa_S136,feces,RNA,8/7/18,Pteropus rufus,AMB153,"Ambakoana, Madagascar",N,,m,J,Y,N,490,147.8,N
RR034B_033_fecRa,RR034B_033_fecRa_S138,feces,RNA,8/7/18,Pteropus rufus,AMB154,"Ambakoana, Madagascar",N,,f,J,Y,N,445,147.6,N
RR034B_034_fecRa,RR034B_034_fecRa_S140,feces,RNA,8/8/18,Pteropus rufus,AMB155,"Ambakoana, Madagascar",N,,f,NL,N,N,495,160,N
RR034B_035_fecRa,RR034B_035_fecRa_S156,feces,RNA,12/21/18,Pteropus rufus,AMB156,"Ambakoana, Madagascar",N,,f,L,N,N,590,158,N
RR034B_036_fecRa,RR034B_036_fecRa_S158,feces,RNA,12/24/18,Pteropus rufus,AMB157,"Ambakoana, Madagascar",N,,m,A,N,N,780,170,N
