"species","bat_sex","unique_tag_id","x","CoV_start","xend","CoV_end"
"Eidolon dupreanum","male","1086_969",2018-02-15,0,2018-07-27,0
"Eidolon dupreanum","male","956000005596513",2018-02-16,0,2018-04-10,1
"Eidolon dupreanum","male","956000005812598",2018-07-27,0,2019-01-07,0
"Eidolon dupreanum","male","956000006076030",2018-04-10,0,2018-07-27,0
"Eidolon dupreanum","female","957",2018-07-27,0,2019-01-06,0
"Eidolon dupreanum","male","964_1609",2018-07-27,0,2019-01-06,0
"Eidolon dupreanum","male","977",2018-07-27,0,2019-01-07,1
"Rousettus madagascariensis","female","M3",2018-02-18,0,2018-04-13,0
